city,county
Ada,Norman
Adams,Mower
Adrian,Nobles
Afton,Washington
Aitkin,Aitkin
Akeley,Hubbard
Albany,Stearns
Albert Lea,Freeborn
Alberta,Stevens
Albertville,Wright
Alden,Freeborn
Aldrich,Wadena
Alexandria,Douglas
Alpha,Jackson
Altura,Winona
Alvarado,Marshall
Amboy,Blue Earth
Andover,Anoka
Annandale,Wright
Anoka,Anoka
Apple Valley,Dakota
Appleton,Swift
Arco,Lincoln
Arden Hills,Ramsey
Argyle,Marshall
Arlington,Sibley
Ashby,Grant
Askov,Pine
Atwater,Kandiyohi
Audubon,Becker
Aurora,St Louis
Austin,Mower
Avoca,Murray
Avon,Stearns
Babbitt,St Louis
Backus,Cass
Badger,Roseau
Bagley,Clearwater
Balaton,Lyon
Barnesville,Clay
Barnum,Carlton
Barrett,Grant
Barry,Big Stone
Battle Lake,Otter Tail
Baudette,Lake of the Woods
Baxter,Crow Wing
Bayport,Washington
Beardsley,Big Stone
Beaver Bay,Lake
Beaver Creek,Rock
Becker,Sherburne
Bejou,Mahnomen
Belgrade,Stearns
Belle Plaine,Scott
Bellechester,Goodhue
Bellingham,Lac Qui Parle
Beltrami,Polk
Belview,Redwood
Bemidji,Beltrami
Bena,Cass
Benson,Swift
Bertha,Todd
Bethel,Anoka
Big Falls,Koochiching
Big Lake,Sherburne
Bigelow,Nobles
Bigfork,Itasca
Bingham Lake,Cottonwood
Birchwood Village,Washington
Bird Island,Renville
Biscay,McLeod
Biwabik,St Louis
Blackduck,Beltrami
Blaine,Anoka
Blomkest,Kandiyohi
Blooming Prairie,Steele
Bloomington,Hennepin
Blue Earth,Faribault
Bluffton,Otter Tail
Bock,Mille Lacs
Borup,Norman
Bovey,Itasca
Bowlus,Morrison
Boy River,Cass
Boyd,Lac Qui Parle
Braham,Isanti
Brainerd,Crow Wing
Brandon,Douglas
Breckenridge,Wilkin
Breezy Point,Crow Wing
Brewster,Nobles
Bricelyn,Faribault
Brook Park,Pine
Brooklyn Center,Hennepin
Brooklyn Park,Hennepin
Brooks,Red Lake
Brookston,St Louis
Brooten,Stearns
Browerville,Todd
Browns Valley,Traverse
Brownsdale,Mower
Brownsville,Houston
Brownton,McLeod
Bruno,Pine
Buckman,Morrison
Buffalo,Wright
Buffalo Lake,Renville
Buhl,St Louis
Burnsville,Dakota
Burtrum,Todd
Butterfield,Watonwan
Byron,Olmsted
Caledonia,Houston
Callaway,Becker
Calumet,Itasca
Cambridge,Isanti
Campbell,Wilkin
Canby,Yellow Medicine
Cannon Falls,Goodhue
Canton,Fillmore
Carlos,Douglas
Carlton,Carlton
Carver,Carver
Cass Lake,Cass
Cedar Mills,Meeker
Center City,Chisago
Centerville,Anoka
Ceylon,Martin
Champlin,Hennepin
Chandler,Murray
Chanhassen,Carver
Chaska,Carver
Chatfield,Fillmore
Chickamaw Beach,Cass
Chisago City,Chisago
Chisholm,St Louis
Chokio,Stevens
Circle Pines,Anoka
Clara City,Chippewa
Claremont,Dodge
Clarissa,Todd
Clarkfield,Yellow Medicine
Clarks Grove,Freeborn
Clear Lake,Sherburne
Clearbrook,Clearwater
Clearwater,Wright
Clements,Redwood
Cleveland,Le Sueur
Climax,Polk
Clinton,Big Stone
Clitherall,Otter Tail
Clontarf,Swift
Cloquet,Carlton
Coates,Dakota
Cobden,Brown
Cohasset,Itasca
Cokato,Wright
Cold Spring,Stearns
Coleraine,Itasca
Cologne,Carver
Columbia Heights,Anoka
Columbus,Anoka
Comfrey,Brown
Comstock,Clay
Conger,Freeborn
Cook,St Louis
Coon Rapids,Anoka
Corcoran,Hennepin
Correll,Big Stone
Cosmos,Meeker
Cottage Grove,Washington
Cottonwood,Lyon
Courtland,Nicollet
Cromwell,Carlton
Crookston,Polk
Crosby,Crow Wing
Crosslake,Crow Wing
Crystal,Hennepin
Currie,Murray
Cuyuna,Crow Wing
Cyrus,Pope
Dakota,Winona
Dalton,Otter Tail
Danube,Renville
Danvers,Swift
Darfur,Watonwan
Darwin,Meeker
Dassel,Meeker
Dawson,Lac Qui Parle
Dayton,Hennepin
De Graff,Swift
Deephaven,Hennepin
Deer Creek,Otter Tail
Deer River,Itasca
Deerwood,Crow Wing
Delano,Wright
Delavan,Faribault
Delhi,Redwood
Dellwood,Washington
Denham,Pine
Dennison,Goodhue
Dent,Otter Tail
Detroit Lakes,Becker
Dexter,Mower
Dilworth,Clay
Dodge Center,Dodge
Donaldson,Kittson
Donnelly,Stevens
Doran,Wilkin
Dover,Olmsted
Dovray,Murray
Duluth,St Louis
Dumont,Traverse
Dundas,Rice
Dundee,Nobles
Dunnell,Martin
Eagan,Dakota
