city,county,walk_score,metro_score,safety_score,com_score,hosp_score,house_score
Ada,Norman,0,0,91,19,43,0
Adams,Mower,0,0,78,22,0,0
Adrian,Nobles,0,0,93,16,0,0
Aitkin,Aitkin,0,0,78,26,53,0
Albany,Stearns,18,0,84,17,49,92
Albert Lea,Freeborn,22,0,74,24,76,96
Alden,Freeborn,0,0,90,21,0,0
Alexandria,Douglas,10,0,61,23,67,43
Andover,Anoka,12,74,85,12,0,0
Angora,St Louis,0,0,84,0,0,0
Annandale,Wright,0,0,86,15,0,0
Anoka,Anoka,34,53,66,28,0,89
Apple Valley,Dakota,16,47,78,12,0,88
Appleton,Swift,0,0,51,33,43,0
Arden Hills,Ramsey,10,44,89,12,0,0
Askov,Pine,0,0,64,45,0,0
Audubon,Becker,3,0,92,17,0,0
Aurora,St Louis,31,0,84,23,43,0
Austin,Mower,30,0,59,23,0,94
Avoca,Murray,0,0,90,21,0,0
Avon,Stearns,0,0,80,12,0,0
Babbitt,St Louis,0,0,79,34,0,0
Backus,Cass,0,0,43,27,0,0
Badger,Roseau,0,0,83,25,0,0
Bagley,Clearwater,0,0,78,48,49,0
Balaton,Lyon,0,0,92,23,0,0
Barnesville,Clay,0,0,88,16,0,0
Barnum,Carlton,0,0,83,20,0,0
Battle Lake,Otter Tail,0,0,93,38,0,0
Baudette,Lake of the Woods,2,0,91,32,51,0
Baxter,Crow Wing,0,0,58,14,0,0
Bayport,Washington,16,50,79,24,0,0
Becker,Sherburne,0,0,83,9,0,0
Belgrade,Stearns,0,0,88,16,0,0
Belle Plaine,Scott,1,0,80,12,0,81
Bemidji,Beltrami,22,0,0,22,64,92
Benson,Swift,30,0,92,29,48,0
Bertha,Todd,0,0,78,34,0,0
Bethel,Anoka,0,0,85,17,0,0
Big Lake,Sherburne,0,0,83,15,0,0
Bingham Lake,Cottonwood,2,0,87,20,0,0
Bird Island,Renville,0,0,87,27,0,98
Blaine,Anoka,24,44,70,12,0,0
Blooming Prairie,Steele,0,0,94,18,0,92
Bloomington,Hennepin,24,100,63,20,0,88
Blue Earth,Faribault,46,0,80,21,53,0
Bowlus,Morrison,0,0,89,18,0,0
Brainerd,Crow Wing,5,0,24,34,87,0
Brandon,Douglas,0,0,90,17,0,0
Breckenridge,Wilkin,32,0,57,25,51,97
Bricelyn,Faribault,0,0,86,30,0,0
Brooklyn Park,Hennepin,29,92,62,15,0,87
Brooks,Red Lake,0,0,86,37,0,0
Browerville,Todd,0,0,78,27,0,0
Brownsdale,Mower,0,0,78,24,0,91
Brownton,McLeod,0,0,94,20,0,0
Bruno,Pine,0,0,64,28,0,0
Buffalo,Wright,8,0,75,18,76,72
Buffalo Lake,Renville,0,0,87,24,0,0
Burnsville,Dakota,20,67,76,15,87,92
Burtrum,Todd,0,0,78,17,0,0
Byron,Olmsted,16,0,90,9,0,0
Caledonia,Houston,29,0,62,29,0,0
Cambridge,Isanti,5,0,55,24,85,0
Canby,Yellow Medicine,0,0,87,29,49,0
Cannon Falls,Goodhue,15,0,70,20,49,0
Carlos,Douglas,0,0,90,24,0,0
Cass Lake,Cass,0,0,43,32,0,0
Center City,Chisago,0,0,90,22,0,0
Ceylon,Martin,0,0,95,40,0,0
Champlin,Hennepin,9,53,84,11,0,80
Chanhassen,Carver,14,41,87,7,0,0
Chaska,Carver,6,41,88,13,0,95
Chisholm,St Louis,64,0,90,33,0,0
Circle Pines,Anoka,26,41,85,16,0,0
Clara City,Chippewa,0,0,96,25,0,0
Claremont,Dodge,1,0,65,30,0,0
